From,To,Weight
0,7216,1
0,8896,1
0,2557,1
2,4093,1
3,209,1
3,3827,2
3,8628,1
3,2446,2
3,1057,1
5,2702,2
5,4000,1
7,360,1
7,7372,1
7,7,2
7,1333,1
8,1271,2
8,2398,1
9,2560,2
9,1709,2
9,5265,2
9,2325,2
10,6916,19
10,4093,1
10,10276,17
10,10009,1
10,2326,1
10,2550,1
10,6069,1
10,2560,1
10,1365,1
10,5042,1
10,3962,1
10,1061,1
10,3573,3
10,2676,20
11,7778,1
12,10418,1
12,328,1
12,8805,1
12,12,1
12,5589,1
12,7982,1
14,2645,1
14,5946,1
14,10185,1
14,4546,1
14,2066,1
14,4945,1
14,2987,1
14,8155,4
14,794,1
14,10170,1
14,206,3
14,7666,1
14,1465,1
14,6349,2
14,1073,1
14,2931,3
14,3056,3
14,7183,2
14,8226,1
14,5225,2
14,9516,1
14,4183,1
14,10458,1
16,9265,1
16,1488,2
16,4142,1
18,1936,4
1888,10674,1
1888,4712,1
1888,6246,1
1888,8866,1
1888,2513,1
1888,8280,11
1888,8965,1
1888,4943,1
1888,4862,4
1888,2066,1
1888,9023,1
1888,8237,1
1888,2867,8
1888,9491,2
1888,1750,7
1888,6593,1
1888,8131,1
1888,3357,1
1888,6422,1
1888,3559,1
1888,1712,1
1888,4913,1
1888,7483,1
1888,4334,8
1888,3307,1
1888,5969,7
1888,1529,1
1888,1757,1
1888,10886,2
1888,2802,1
1888,1966,2
1888,2534,7
1888,5633,2
1888,10316,1
1888,6349,2
1888,3974,1
1888,7511,1
1888,10015,1
1888,6572,2
1888,6148,1
1888,1333,1
1888,9054,1
1888,6887,16
1888,9194,1
1888,5228,1
1888,8894,1
1888,3405,1
108,1456,1
108,766,1
108,4589,1
108,7946,1
22,4490,2
22,7178,1
22,8491,1
22,5406,1
22,4112,7
22,7693,2
22,10298,7
22,2253,1
22,3220,1
22,5502,1
22,1708,1
22,1800,1
22,6291,2
22,2452,13
22,1324,7
22,73,2
22,7845,1
22,9937,4
22,1160,1
22,10058,1
22,3609,2
22,1333,1
22,7680,1
22,8954,1
22,10410,25
23,3593,2
25,5661,1
29,4807,1
29,7647,1
29,10403,2
29,7678,2
29,9194,1
29,8155,2
29,10380,1
29,8078,1
29,9280,2
29,3194,2
29,6349,2
29,10412,1
29,1057,1
32,5164,1
34,6622,52
34,1047,1
34,2093,4
34,2699,2
34,8733,1
34,10326,12
34,1113,2
34,10429,6
34,3082,3
34,5836,5
34,8119,2
34,10876,2
34,7866,3
34,10861,6
34,1583,2
34,10399,1
34,1079,1
34,6274,21
35,3377,6
35,6069,11
35,4901,1
35,7137,1
35,4727,1
36,7177,1
36,9137,1
36,5164,1
36,8749,1
10304,3593,1
39,7937,1
39,8066,1
39,4240,1
263,6282,1
45,9384,1
45,6475,2
45,2219,1
45,7140,1
45,5655,1
45,5439,1
45,5512,2
45,2128,1
45,566,6
45,3199,1
46,9087,1
46,7778,2
46,1271,2
46,7250,1
46,7912,1
48,6069,3
48,1045,1
48,5661,6
48,4093,4
48,1827,1
48,7021,3
322,3526,3
322,10416,3
322,1402,3
50,5107,4
50,1750,1
50,2611,12
50,10751,2
50,10430,1
50,4531,1
50,7589,2
50,346,3
50,2449,1
50,370,1
51,5265,2
52,6595,1
52,2989,2
52,6422,1
52,6349,4
52,4296,1
52,52,1
341,8310,1
56,4194,3
56,6069,1
56,6454,2
56,2333,1
56,9550,12
56,2143,68
56,2874,57
56,2611,4
56,8906,1
56,9970,1
56,1365,39
56,2367,68
56,10753,1
56,9514,2
56,1061,74
56,327,12
58,10264,1
58,4299,1
58,2611,1
58,3035,1
58,3609,1
58,10886,1
58,10765,1
58,3240,3
58,6544,1
58,6887,59
58,9280,1
58,10733,1
58,10410,1
58,1665,1
59,10473,3
59,2624,1
59,9758,1
59,10478,1
59,3573,1
59,7618,1
59,4947,1
59,8677,1
59,3833,1
62,3526,1
62,9871,1
63,7647,1
63,8078,1
63,4491,2
63,5994,1
63,1543,2
63,9879,2
63,2867,1
63,7962,1
63,3035,1
63,5817,2
63,2702,4
63,969,3
63,2560,1
63,3812,3
63,2676,4
63,4046,1
63,6177,1
63,4693,1
63,6296,1
63,3194,1
63,3009,1
63,6835,1
63,10403,2
63,6397,5
63,5265,7
63,320,2
63,2935,5
63,4055,1
63,1379,1
63,820,1
64,6887,4
64,10538,2
64,1779,1
65,10886,1
65,6887,1
65,5661,1
65,3573,1
66,8790,1
66,513,1
66,2293,1
68,7361,1
68,9986,3
68,2581,1
68,7408,1
68,2201,1
68,6531,1
68,8036,1
68,7178,1
68,8155,2
68,10646,1
68,1558,1
68,8659,1
68,6559,1
68,4603,4
68,5703,2
68,1776,1
68,1687,2
68,8166,1
68,6043,1
71,6031,2
71,9991,1
71,7693,3
71,4920,2
71,7282,3
73,73,1
73,10688,1
73,9645,3
73,589,1
73,132,1
73,801,1
73,10284,1
73,8237,1
73,8894,1
73,8453,2
75,8771,2
75,6323,1
75,10025,1
75,1260,1
75,10380,1
75,1061,1
75,1058,1
75,4502,1
75,2560,1
75,3377,1
75,10432,1
75,8749,1
75,5164,5
75,3899,1
75,598,4
75,8920,5
75,9562,1
75,4055,1
